Date,EloRating
2023-01-11,842
2023-01-11,852
2023-01-11,849
2023-01-11,855
2023-01-11,842
2023-01-11,848
2023-01-11,838
2023-01-11,863
2023-01-12,884
2023-01-12,884
2023-01-12,877
2023-01-12,893
2023-01-12,878
2023-01-12,907
2023-01-12,901
2023-01-12,903
2023-01-12,911
2023-01-12,896
2023-01-12,904
2023-01-12,900
2023-01-12,885
2023-01-12,859
2023-01-12,886
2023-01-12,895
2023-01-12,886
2023-01-12,896
2023-01-12,904
2023-01-12,895
2023-01-12,889
2023-01-12,895
2023-01-12,902
2023-01-12,912
2023-01-12,903
2023-01-12,894
2023-01-12,902
2023-01-12,893
2023-01-12,895
2023-01-12,896
2023-01-12,867
2023-01-12,882
2023-01-12,887
2023-01-12,922
2023-01-12,930
2023-01-12,923
2023-01-12,917
2023-01-12,876
2023-01-12,932
2023-01-12,924
2023-01-12,883
2023-01-12,915
2023-01-12,915
2023-01-12,906
2023-01-12,897
2023-01-12,889
2023-01-12,882
2023-01-12,873
2023-01-12,865
2023-01-12,856
2023-01-12,849
2023-01-12,924
2023-01-12,892
2023-01-12,926
2023-01-12,891
2023-01-12,846
2023-01-12,855
2023-01-12,862
2023-01-12,870
2023-01-12,880
2023-01-12,889
2023-01-12,882
2023-01-12,876
2023-01-12,884
2023-01-12,877
2023-01-12,893
2023-01-12,870
2023-01-12,879
2023-01-12,888
2023-01-12,880
2023-01-12,886
2023-01-12,894
2023-01-12,885
2023-01-12,901
2023-01-12,886
2023-01-12,900
2023-01-13,937
2023-01-13,943
2023-01-13,933
2023-01-13,924
2023-01-13,917
2023-01-13,926
2023-01-13,920
2023-01-13,912
2023-01-13,903
2023-01-13,895
2023-01-13,929
2023-01-14,872
2023-01-14,880
2023-01-14,890
2023-01-14,896
2023-01-14,887
2023-01-14,903
2023-01-14,911
2023-01-14,894
2023-01-14,903
2023-01-14,904
2023-01-14,879
2023-01-14,954
2023-01-14,962
2023-01-14,968
2023-01-14,962
2023-01-14,969
2023-01-14,963
2023-01-14,945
2023-01-14,936
2023-01-14,943
2023-01-14,936
2023-01-14,941
2023-01-14,926
2023-01-14,916
2023-01-14,906
2023-01-14,897
2023-01-14,935
2023-01-14,898
2023-01-14,889
2023-01-14,879
2023-01-14,886
2023-01-14,906
2023-01-14,901
2023-01-14,910
2023-01-14,891
2023-01-14,925
2023-01-14,916
2023-01-14,909
2023-01-14,915
2023-01-14,906
2023-01-14,919
2023-01-15,933
2023-01-15,909
2023-01-15,927
2023-01-15,919
2023-01-15,912
2023-01-15,918
2023-01-15,910
2023-01-15,903
2023-01-15,900
2023-01-15,934
2023-01-15,922
2023-01-15,915
2023-01-15,913
2023-01-15,905
2023-01-15,914
2023-01-15,908
2023-01-15,917
2023-01-15,908
2023-01-15,940
2023-01-15,929
2023-01-15,945
2023-01-15,891
2023-01-15,906
2023-01-15,926
2023-01-15,935
2023-01-15,928
2023-01-15,936
2023-01-15,945
2023-01-15,952
2023-01-15,962
2023-01-15,970
2023-01-15,938
2023-01-15,977
2023-01-15,975
2023-01-15,984
2023-01-15,977
2023-01-15,977
2023-01-15,970
2023-01-15,900
2023-01-15,925
2023-01-15,915
2023-01-15,985
2023-01-16,952
2023-01-16,958
2023-01-16,941
2023-01-16,934
2023-01-16,907
2023-01-16,914
2023-01-16,905
2023-01-16,915
2023-01-16,909
2023-01-16,901
2023-01-16,895
2023-01-16,903
2023-01-16,911
2023-01-16,917
2023-01-16,924
2023-01-16,932
2023-01-16,926
2023-01-16,933
2023-01-16,941
2023-01-16,950
2023-01-16,962
2023-01-16,924
2023-01-16,936
2023-01-16,927
2023-01-16,919
2023-01-16,925
2023-01-16,918
2023-01-16,914
2023-01-16,931
2023-01-16,936
2023-01-16,929
