Date,EloRating,Result,Moves
02/02/23,1016,Ady13messi won by resignation,e2e4 e7e5 b1c3 g8f6 g1f3 b8c6 d2d3 f8b4 f1e2 d7d6 e1g1 c6d4 c1g5 d4e2 d1e2 h7h6 g5f6 d8f6 c3d5
02/02/23,1034,Ady13messi won by checkmate,e2e4 d7d5 e4d5 d8d5 b1c3 d5d8 f1e2 b8c6 d2d4 g8f6 g1f3 f6d5 c3d5 d8d5 c2c3 e7e6 a2a4 h7h6 e1g1 g7g5 f3e5 c6e5 d4e5 d5e5 e2h5 g5g4 h5g4 h6h5 g4f3 h5h4 c1e3 f7f5 e3d4 e5d6 d4h8 h4h3 f3h5 e8e7 h8d4 h3g2 g1g2 d6d5 g2g1 e6e5 f1e1 f8g7 d4e3 d5d1 a1d1 f5f4 e3c5 e7e6 d1d8 g7f6 d8e8 e6d7 b2b4 b7b6 c5f8 c8b7 e1d1 d7c6 h5f3 e5e4 f3e4
02/02/23,1022,D3056 won by resignation,e2e4 e7e5 d2d4 e5d4 d1d4 d7d6 b1c3 c7c5 d4a4 c8d7 a4b3 b7b6 g1f3 g8f6 c1g5 f8e7 e1c1 d7g4 h2h3 g4f3 g2f3 b8c6 f1b5 d8c7 c3d5 c7c8 d5f6 e7f6 g5f6 g7f6 b3d5 e8d7 d5f7 d7d8 f7f6 d8c7 f6d6 c7b7 d6d3 h8d8 b5a6 b7c7 a6c8 c7c8 d3d8 c6d8 h1g1 c8c7 g1g7 c7c8 g7h7 d8e6 h7h8 c8b7 h8a8 b7a8 h3h4 e6f4 h4h5 f4h5 d1e1 h5f4 e4e5 f4g2 e1e2 g2h4 e5e6 h4f3 e6e7
02/02/23,1013,joseloc13 won by resignation,g1f3 b8c6 e2e4 e7e5 d2d4 e5d4 f3d4 c6d4 d1d4 d7d6 b1c3 c7c5 d4e3 g7g6 e4e5 f8h6 e3e4 h6c1 a1c1 c8e6 e5d6 d8d6 f1b5 e8f8 e1g1 a7a6 e4b7 a8b8 b7a6 g8e7 a6d6
02/02/23,1021,Ady13messi won by checkmate,e2e4 e7e5 d1f3 b8c6 f1b5 g8f6 b5c6 d7c6 d2d3 f8d6 g1e2 c8g4 f3g3 e8g8 c1g5 g4e2 e1e2 d6e7 g5f6 e7f6 b1d2 d8d4 c2c3 d4d7 h2h3 g7g6 g3f3 f6g7 h1d1 h7h5 e2f1 f7f5 e4f5 f8f5 f3e4 a8f8 f2f3 f5f4 e4a4 d7d3 f1g1 d3e3 g1h2 f4a4 b2b3 e3f4 g2g3 f4e3 b3a4 e3f2 h2h1 f2g3 d1g1 g3h3
02/02/23,1014,Ady13messi won by checkmate,e2e4 c7c5 g2g3 b8c6 f1g2 e7e5 g1f3 g7g6 b1c3 f8g7 d2d3 g8e7 c1g5 e8g8 g5e7 d8e7 c3d5 e7d8 c2c4 c6e7 e1g1 e7d5 e4d5 d7d6 a2a3 b7b6 a1b1 a7a5 a3a4 c8g4 b2b3 a8a7 h2h3 g4f3 g2f3 f7f5 h3h4 d8f6 b1b2 e5e4 d3e4 f6b2 e4f5 f8f5 f3g4 f5f8 g4e6 g8h8 f2f4 b2f6 g1g2 h7h5 f1e1 f6b2 g2h3 b2c3 e1f1 c3f6 d1c2 a7e7 f4f5 g6f5 f1f5 f6g6 f5f8 g7f8 c2g6 e7g7 g6h6 g7h7 h6f6 h7g7 f6f8 h8h7 f8f5 h7h8 f5h5 g7h7 h5e8 h8g7 e8f7 g7h8 f7g8
02/02/23,1008,Game drawn by stalemate,e2e4 e7e5 b1c3 b8c6 g1f3 d7d6 f1c4 c8g4 e1g1 g4f3 d1f3 g8f6 c3d5 c6d4 d5f6 d8f6 f3f6 g7f6 f2f4 d4c2 a1b1 c2d4 f4e5 f6e5 c4f7 e8d7 f7d5 f8h6 b2b3 d4e2 g1f2 e2c1 b1c1 h8f8 f2g1 h6d2 c1d1 d2e3 g1h1 f8f1 d1f1 c7c6 d5c4 b7b5 c4f7 a8f8 h2h4 d7e7 f1f3 e3d4 f7h5 f8f3 h5f3 a7a5 g2g4 a5a4 b3a4 b5a4 g4g5 c6c5 h4h5 c5c4 h1h2 c4c3 f3d1 e7f7 d1a4 d4e3 g5g6 h7g6 h5g6 f7g6 a4c2 g6g5 a2a4 g5f6 h2g2 f6g5 a4a5 g5f4 a5a6 f4g5 g2f3 e3c5 f3e2 g5f4 e2d3 c5d4 d3c4 f4g5 c4d5 g5f4 d5d6 f4e3 d6c6 e3d2 c2b1 c3c2 b1c2 d2c2 c6b7 c2d3 a6a7 d4a7 b7a7 d3e4 a7b7 e4f4 b7c6 e5e4 c6d6 e4e3 d6d5 f4f3 d5c4 e3e2 c4d3 f3f2 d3d4 e2e1q d4d5 e1e2 d5d4 f2f3 d4d5 e2e3 d5c4 f3f4 c4d5 e3e4 d5c5 f4f5 c5d6 e4e5 d6c6 f5f6 c6b7 e5e6 b7a8 f6e7 a8b8 e6d6 b8a8 e7d7 a8b7 d6c6 b7b8 c6c7 b8a8 d7d8
02/02/23,1001,Ady13messi won by resignation,e2e4 e7e5 g1f3 g8f6 b1c3 b8c6 d2d3 f8c5 c1g5 d7d5 g5f6 g7f6 c3d5 e8g8 c2c4 c6d4 f3d4 c5d4 a1b1 d4c3 b2c3
02/02/23,1009,Ady13messi won by resignation,e2e4 c7c6 g2g3 d7d5 f1g2 e7e5 e4d5 c6d5 b1c3 g8f6 d2d4 e5e4 c1g5 f8e7 g5f6 e7f6 g1h3 c8h3 g2h3 b8c6 h3g2 c6d4 e1g1 d4c6 c3d5 f6b2 a1b1 b2e5 b1b7 a8b8 d5c7 e5c7 d1d8 e8d8 f1d1 d8c8 b7b8 c7b8 g2e4 h7h6 e4c6 h8d8 d1e1 d8d2 e1e7 d2d6 c6f3 a7a5 e7f7 b8a7 f7a7 d6d2 a7a5 d2c2 a5a7 c8b8 a7g7
02/02/23,1018,jayfel101 won by resignation,e2e4 e7e5 g1f3 b8c6 f1c4 d7d6 d2d3 c8g4 h2h3 g4f3 d1f3 g8f6 b1c3 c6d4 f3d1 c7c6 c1g5 f8e7 f2f4 b7b5 c4b3 e5f4 g5f4 c6c5 e4e5 d6e5 f4e5 e8g8 e1g1 d4b3 a2b3 f8e8 a1a6 b5b4 c3b5 d8c8 d1a1 c8f5 f1f5
